Year,EM,Entidad,Municipio,Cultivo, Superficie cosechada (Ha) , Producción (Ton / Miles de Litros) 
2019,1001,Aguascalientes,Aguascalientes,Frijol,188,109.04
2019,1001,Aguascalientes,Aguascalientes,Maíz grano,"1,643.00",624.34
2019,1002,Aguascalientes,Asientos,Frijol,"1,893.00",1667.24
2019,1002,Aguascalientes,Asientos,Maíz grano,"2,220.00",635.00
2019,1003,Aguascalientes,Calvillo,Frijol,24,7.10
2019,1003,Aguascalientes,Calvillo,Maíz grano,"1,077.00",226.17
2019,1004,Aguascalientes,Cosío,Frijol,399,771.36
2019,1004,Aguascalientes,Cosío,Maíz grano,604,181.20
2019,1005,Aguascalientes,Jesús María,Frijol,9,11.34
2019,1005,Aguascalientes,Jesús María,Maíz grano,172,338.84
2019,1006,Aguascalientes,Pabellón de Arteaga,Frijol,51,109.77
2019,1006,Aguascalientes,Pabellón de Arteaga,Maíz grano,326,114.10
2019,1007,Aguascalientes,Rincón de Romos,Frijol,149,241.22
2019,1007,Aguascalientes,Rincón de Romos,Maíz grano,"1,442.00",461.44
2019,1008,Aguascalientes,San José de Gracia,Frijol,16,4.64
2019,1008,Aguascalientes,San José de Gracia,Maíz grano,"1,710.00",530.10
2019,1009,Aguascalientes,Tepezalá,Frijol,319,370.95
2019,1009,Aguascalientes,Tepezalá,Maíz grano,"2,154.00",624.66
2019,1010,Aguascalientes,El Llano,Frijol,81,81.00
2019,1010,Aguascalientes,El Llano,Maíz grano,"1,111.00",2022.02
2019,1011,Aguascalientes,San Francisco de Los Romo,Frijol,21,10.29
2019,1011,Aguascalientes,San Francisco de Los Romo,Maíz grano,817,650.76
2019,2001,Baja California,Ensenada,Trigo grano,"1,757.00",2635.50
2019,2002,Baja California,Mexicali,Trigo grano,"6,270.22",39028.73
2019,2003,Baja California,Tecate,Trigo grano,10,40.02
2019,3001,Baja California Sur,Comondú,Frijol,175,230.70
2019,3001,Baja California Sur,Comondú,Trigo grano,"4,134.00",23084.20
2019,3003,Baja California Sur,La Paz,Frijol,8,15.20
2019,3008,Baja California Sur,Los Cabos,Frijol,27,26.70
2019,4001,Campeche,Calkiní,Maíz grano,"5,887.00",21075.46
2019,4002,Campeche,Campeche,Arroz palay,80,304.88
2019,4002,Campeche,Campeche,Frijol,20,12.04
2019,4002,Campeche,Campeche,Maíz grano,"16,308.00",62785.80
2019,4003,Campeche,Carmen,Arroz palay,"2,016.00",8748.54
2019,4003,Campeche,Carmen,Maíz grano,"7,444.00",7592.88
2019,4004,Campeche,Champotón,Arroz palay,547,1488.60
2019,4004,Campeche,Champotón,Maíz grano,"13,368.00",27208.85
2019,4005,Campeche,Hecelchakán,Maíz grano,"14,801.00",55503.75
2019,4006,Campeche,Hopelchén,Arroz palay,519,2490.27
2019,4006,Campeche,Hopelchén,Maíz grano,"40,200.00",146772.00
2019,4007,Campeche,Palizada,Arroz palay,"4,143.00",21356.38
2019,4007,Campeche,Palizada,Maíz grano,792,917.00
2019,4008,Campeche,Tenabo,Maíz grano,"6,810.00",24175.50
2019,4009,Campeche,Escárcega,Arroz palay,"2,259.00",14139.98
2019,4009,Campeche,Escárcega,Maíz grano,"14,774.00",13822.58
2019,4010,Campeche,Calakmul,Frijol,67,34.84
2019,4010,Campeche,Calakmul,Maíz grano,"7,314.50",7426.70
2019,4011,Campeche,Candelaria,Arroz palay,32,80.00
2019,4011,Campeche,Candelaria,Maíz grano,"12,260.00",10234.00
2019,5001,Coahuila de Zaragoza,Abasolo,Trigo grano,640,2649.60
2019,5003,Coahuila de Zaragoza,Allende,Maíz grano,1,0.70
2019,5004,Coahuila de Zaragoza,Arteaga,Frijol,26,8.94
2019,5004,Coahuila de Zaragoza,Arteaga,Maíz grano,"1,800.00",702.00
2019,5007,Coahuila de Zaragoza,Cuatro Ciénegas,Frijol,67,50.21
2019,5007,Coahuila de Zaragoza,Cuatro Ciénegas,Maíz grano,70,59.50
2019,5008,Coahuila de Zaragoza,Escobedo,Trigo grano,167,711.42
2019,5009,Coahuila de Zaragoza,Francisco I. Madero,Trigo grano,90,412.50
2019,5010,Coahuila de Zaragoza,Frontera,Trigo grano,30,90.00
2019,5011,Coahuila de Zaragoza,General Cepeda,Frijol,130,45.50
2019,5011,Coahuila de Zaragoza,General Cepeda,Maíz grano,980,372.40
2019,5011,Coahuila de Zaragoza,General Cepeda,Trigo grano,224,132.16
2019,5013,Coahuila de Zaragoza,Hidalgo,Maíz grano,3,2.25
2019,5014,Coahuila de Zaragoza,Jiménez,Maíz grano,34,35.70
2019,5014,Coahuila de Zaragoza,Jiménez,Trigo grano,120,390.00
2019,5016,Coahuila de Zaragoza,Lamadrid,Frijol,11,13.31
2019,5019,Coahuila de Zaragoza,Morelos,Maíz grano,8,5.76
2019,5021,Coahuila de Zaragoza,Nadadores,Trigo grano,290,1022.30
2019,5022,Coahuila de Zaragoza,Nava,Trigo grano,"2,830.00",11619.80
2019,5023,Coahuila de Zaragoza,Ocampo,Frijol,42,30.18
2019,5024,Coahuila de Zaragoza,Parras,Frijol,255,91.02
2019,5024,Coahuila de Zaragoza,Parras,Maíz grano,800,320.00
2019,5024,Coahuila de Zaragoza,Parras,Trigo grano,108,64.80
2019,5027,Coahuila de Zaragoza,Ramos Arizpe,Frijol,58,46.74
2019,5027,Coahuila de Zaragoza,Ramos Arizpe,Maíz grano,660,270.60
2019,5027,Coahuila de Zaragoza,Ramos Arizpe,Trigo grano,61,60.70
2019,5029,Coahuila de Zaragoza,Sacramento,Frijol,40,33.30
2019,5029,Coahuila de Zaragoza,Sacramento,Maíz grano,25,16.00
2019,5030,Coahuila de Zaragoza,Saltillo,Frijol,513,175.21
2019,5030,Coahuila de Zaragoza,Saltillo,Maíz grano,"6,000.00",2220.00
2019,5030,Coahuila de Zaragoza,Saltillo,Trigo grano,40,28.40
2019,5031,Coahuila de Zaragoza,San Buenaventura,Frijol,6.5,7.80
2019,5031,Coahuila de Zaragoza,San Buenaventura,Trigo grano,425,1669.60
2019,5033,Coahuila de Zaragoza,San Pedro,Frijol,46.82,42.14
2019,5034,Coahuila de Zaragoza,Sierra Mojada,Frijol,24,11.28
2019,5035,Coahuila de Zaragoza,Torreón,Frijol,1,3.00
2019,5035,Coahuila de Zaragoza,Torreón,Maíz grano, -   , -   
2019,5036,Coahuila de Zaragoza,Viesca,Frijol,16,22.46
2019,5036,Coahuila de Zaragoza,Viesca,Maíz grano,50,34.00
2019,5037,Coahuila de Zaragoza,Villa Unión,Maíz grano,5,3.55
2019,5038,Coahuila de Zaragoza,Zaragoza,Maíz grano,7,4.90
2019,6001,Colima,Armería,Maíz grano,15.5,42.78
2019,6002,Colima,Colima,Arroz palay,685.5,4253.10
2019,6002,Colima,Colima,Maíz grano,"2,051.00",6563.20
2019,6003,Colima,Comala,Maíz grano,"2,681.00",10911.67
2019,6004,Colima,Coquimatlán,Arroz palay,826.5,5383.28
2019,6004,Colima,Coquimatlán,Maíz grano,595,1921.85
2019,6005,Colima,Cuauhtémoc,Arroz palay,"1,509.00",7695.90
2019,6005,Colima,Cuauhtémoc,Maíz grano,"1,842.00",7791.66
2019,6006,Colima,Ixtlahuacán,Maíz grano,7.5,30.23
2019,6007,Colima,Manzanillo,Maíz grano,495.5,1189.20
2019,6008,Colima,Minatitlán,Maíz grano,"1,369.00",5243.27
2019,6009,Colima,Tecomán,Arroz palay,386.33,1943.24
2019,6009,Colima,Tecomán,Maíz grano,31,93.31
2019,6010,Colima,Villa de Álvarez,Maíz grano,982,3171.86
2019,7001,Chiapas,Acacoyagua,Arroz palay,22,36.30
2019,7001,Chiapas,Acacoyagua,Maíz grano,"1,840.00",3864.00
2019,7002,Chiapas,Acala,Frijol,123.5,46.93
2019,7002,Chiapas,Acala,Maíz grano,"7,768.22",23382.34
2019,7003,Chiapas,Acapetahua,Arroz palay,17,28.56
2019,7003,Chiapas,Acapetahua,Maíz grano,"2,252.00",5021.96
2019,7004,Chiapas,Altamirano,Frijol,"1,225.53",514.72
2019,7004,Chiapas,Altamirano,Maíz grano,"3,955.00",5101.95
2019,7005,Chiapas,Amatán,Arroz palay,201,327.63
2019,7005,Chiapas,Amatán,Frijol,"1,085.00",531.65
2019,7005,Chiapas,Amatán,Maíz grano,"3,115.00",3738.00
2019,7006,Chiapas,Amatenango de La Frontera,Frijol,159.5,193.77
2019,7006,Chiapas,Amatenango de La Frontera,Maíz grano,"2,597.00",4752.51
2019,7007,Chiapas,Amatenango del Valle,Frijol,414.28,190.57
2019,7007,Chiapas,Amatenango del Valle,Maíz grano,"1,670.27",2037.73
2019,7008,Chiapas,Angel Albino Corzo,Frijol,"1,510.00",1313.70
2019,7008,Chiapas,Angel Albino Corzo,Maíz grano,"3,825.00",9983.25
2019,7009,Chiapas,Arriaga,Maíz grano,"1,260.00",2167.20
2019,7010,Chiapas,Bejucal de Ocampo,Frijol,112,57.86
2019,7010,Chiapas,Bejucal de Ocampo,Maíz grano,611,837.07
2019,7011,Chiapas,Bella Vista,Frijol,429,292.92
2019,7011,Chiapas,Bella Vista,Maíz grano,"2,935.00",5547.15
2019,7012,Chiapas,Berriozábal,Maíz grano,"2,286.15",4595.16
2019,7013,Chiapas,Bochil,Frijol,440,299.20
2019,7013,Chiapas,Bochil,Maíz grano,"6,782.00",9766.08
2019,7014,Chiapas,El Bosque,Frijol,260,176.80
2019,7014,Chiapas,El Bosque,Maíz grano,"5,560.00",7728.40
2019,7015,Chiapas,Cacahoatán,Maíz grano,820,943.00
2019,7016,Chiapas,Catazajá,Maíz grano,"5,310.00",6956.10
2019,7017,Chiapas,Cintalapa,Frijol,565.33,231.79
2019,7017,Chiapas,Cintalapa,Maíz grano,"4,610.97",11527.43
2019,7018,Chiapas,Coapilla,Frijol,397.67,163.04
2019,7018,Chiapas,Coapilla,Maíz grano,"2,625.78",3886.15
2019,7019,Chiapas,Comitán de Domínguez,Frijol,"2,366.00",1585.22
2019,7019,Chiapas,Comitán de Domínguez,Maíz grano,"3,021.00",5135.70
2019,7020,Chiapas,La Concordia,Frijol,"2,070.00",1759.50
2019,7020,Chiapas,La Concordia,Maíz grano,"18,884.00",54952.44
2019,7021,Chiapas,Copainalá,Frijol,482.42,188.14
2019,7021,Chiapas,Copainalá,Maíz grano,"1,232.21",2673.90
2019,7022,Chiapas,Chalchihuitán,Frijol,161.45,64.58
2019,7022,Chiapas,Chalchihuitán,Maíz grano,"2,178.50",2592.42
2019,7023,Chiapas,Chamula,Frijol,121.22,47.28
2019,7023,Chiapas,Chamula,Maíz grano,"5,077.33",5889.70
2019,7024,Chiapas,Chanal,Frijol,845.26,329.65
2019,7024,Chiapas,Chanal,Maíz grano,"2,077.55",2409.96
2019,7025,Chiapas,Chapultenango,Frijol,570,307.80
2019,7025,Chiapas,Chapultenango,Maíz grano,112,132.16
2019,7026,Chiapas,Chenalhó,Frijol,123.58,50.67
2019,7026,Chiapas,Chenalhó,Maíz grano,"2,581.15",3097.38
2019,7027,Chiapas,Chiapa de Corzo,Maíz grano,"11,195.94",32804.10
2019,7028,Chiapas,Chiapilla,Maíz grano,"2,329.65",4309.85
2019,7029,Chiapas,Chicoasén,Maíz grano,839.4,1426.98
2019,7030,Chiapas,Chicomuselo,Frijol,409,310.84
2019,7030,Chiapas,Chicomuselo,Maíz grano,"6,101.00",12690.08
2019,7031,Chiapas,Chilón,Frijol,"2,520.00",1033.20
2019,7031,Chiapas,Chilón,Maíz grano,"15,800.00",20382.00
2019,7032,Chiapas,Escuintla,Arroz palay,102,177.48
2019,7032,Chiapas,Escuintla,Maíz grano,"1,947.00",4497.57
2019,7033,Chiapas,Francisco León,Frijol,30,14.70
2019,7033,Chiapas,Francisco León,Maíz grano,854,1161.44
2019,7034,Chiapas,Frontera Comalapa,Frijol,480,355.20
2019,7034,Chiapas,Frontera Comalapa,Maíz grano,"10,886.00",43652.86
2019,7035,Chiapas,Frontera Hidalgo,Maíz grano,"2,315.00",8935.90
2019,7036,Chiapas,La Grandeza,Frijol,335,200.79
2019,7036,Chiapas,La Grandeza,Maíz grano,482,645.88
2019,7037,Chiapas,Huehuetán,Maíz grano,"1,235.00",2457.65
2019,7038,Chiapas,Huixtán,Frijol,"1,303.25",560.40
2019,7038,Chiapas,Huixtán,Maíz grano,"3,050.50",3660.60
2019,7039,Chiapas,Huitiupán,Frijol,"1,550.00",1038.50
2019,7039,Chiapas,Huitiupán,Maíz grano,"3,505.00",4942.05
2019,7040,Chiapas,Huixtla,Maíz grano,"1,250.00",2450.00
2019,7041,Chiapas,La Independencia,Frijol,"1,588.00",1238.64
2019,7041,Chiapas,La Independencia,Maíz grano,"1,109.50",1852.87
2019,7042,Chiapas,Ixhuatán,Frijol,350,206.50
2019,7042,Chiapas,Ixhuatán,Maíz grano,872,1395.20
2019,7043,Chiapas,Ixtacomitán,Frijol,65,30.55
2019,7043,Chiapas,Ixtacomitán,Maíz grano,172,206.40
2019,7044,Chiapas,Ixtapa,Maíz grano,"4,516.54",11562.34
2019,7045,Chiapas,Ixtapangajoya,Frijol,140,65.80
2019,7045,Chiapas,Ixtapangajoya,Maíz grano,132,159.72
2019,7046,Chiapas,Jiquipilas,Frijol,"1,045.33",449.49
2019,7046,Chiapas,Jiquipilas,Maíz grano,"6,120.29",14321.48
2019,7047,Chiapas,Jitotol,Frijol,345,224.25
2019,7047,Chiapas,Jitotol,Maíz grano,"3,140.00",4772.80
2019,7048,Chiapas,Juárez,Arroz palay,12,20.88
2019,7048,Chiapas,Juárez,Frijol,20,10.20
2019,7048,Chiapas,Juárez,Maíz grano,"1,729.00",2558.92
2019,7049,Chiapas,Larráinzar,Frijol,"1,015.15",385.76
2019,7049,Chiapas,Larráinzar,Maíz grano,"2,610.33",3106.29
2019,7050,Chiapas,La Libertad,Maíz grano,"1,790.00",2362.80
2019,7051,Chiapas,Mapastepec,Maíz grano,"2,185.00",4828.85
2019,7052,Chiapas,Las Margaritas,Frijol,"1,771.00",1328.25
2019,7052,Chiapas,Las Margaritas,Maíz grano,"2,526.00",4369.98
2019,7053,Chiapas,Mazapa de Madero,Frijol,148,84.23
2019,7053,Chiapas,Mazapa de Madero,Maíz grano,403,544.05
2019,7054,Chiapas,Mazatán,Maíz grano,882.1,1984.73
2019,7055,Chiapas,Metapa,Maíz grano,833,1799.28
2019,7056,Chiapas,Mitontic,Frijol,57.48,21.84
2019,7056,Chiapas,Mitontic,Maíz grano,895.35,1056.51
2019,7057,Chiapas,Motozintla,Frijol,968,549.32
2019,7057,Chiapas,Motozintla,Maíz grano,"3,614.00",6216.08
2019,7058,Chiapas,Nicolás Ruíz,Frijol,723.33,282.10
2019,7058,Chiapas,Nicolás Ruíz,Maíz grano,"1,950.00",4095.00
2019,7059,Chiapas,Ocosingo,Frijol,"6,898.00",3543.74
2019,7059,Chiapas,Ocosingo,Maíz grano,"33,655.00",37373.55
2019,7060,Chiapas,Ocotepec,Frijol,310.83,124.33
2019,7060,Chiapas,Ocotepec,Maíz grano,"1,193.40",1718.50
2019,7061,Chiapas,Ocozocoautla de Espinosa,Frijol,"2,292.25",848.13
2019,7061,Chiapas,Ocozocoautla de Espinosa,Maíz grano,"14,959.79",48619.32
2019,7062,Chiapas,Ostuacán,Arroz palay,14,25.34
2019,7062,Chiapas,Ostuacán,Frijol,33,16.17
2019,7062,Chiapas,Ostuacán,Maíz grano,"3,001.00",4171.39
2019,7063,Chiapas,Osumacinta,Maíz grano,"1,991.40",4400.99
2019,7064,Chiapas,Oxchuc,Frijol,"2,451.85",1005.26
2019,7064,Chiapas,Oxchuc,Maíz grano,"5,826.25",7108.03
2019,7065,Chiapas,Palenque,Frijol,"1,870.00",654.50
2019,7065,Chiapas,Palenque,Maíz grano,"30,100.00",38528.00
2019,7066,Chiapas,Pantelhó,Frijol,85.55,35.93
2019,7066,Chiapas,Pantelhó,Maíz grano,"2,158.45",2611.72
2019,7067,Chiapas,Pantepec,Frijol,120,70.80
2019,7067,Chiapas,Pantepec,Maíz grano,"1,041.00",1353.30
2019,7068,Chiapas,Pichucalco,Frijol,107,73.83
2019,7068,Chiapas,Pichucalco,Maíz grano,470,596.90
2019,7069,Chiapas,Pijijiapan,Frijol,143,115.83
2019,7069,Chiapas,Pijijiapan,Maíz grano,"3,600.00",8064.00
2019,7070,Chiapas,El Porvenir,Frijol,97,61.80
2019,7070,Chiapas,El Porvenir,Maíz grano,758,1015.72
2019,7071,Chiapas,Villa Comaltitlán,Maíz grano,"1,422.00",2673.36
2019,7072,Chiapas,Pueblo Nuevo Solistahuacán,Frijol,877,587.59
2019,7072,Chiapas,Pueblo Nuevo Solistahuacán,Maíz grano,"5,663.00",8211.35
2019,7073,Chiapas,Rayón,Frijol,60,35.40
2019,7073,Chiapas,Rayón,Maíz grano,757,1082.51
2019,7074,Chiapas,Reforma,Arroz palay,13,21.45
2019,7074,Chiapas,Reforma,Frijol,18,8.82
2019,7074,Chiapas,Reforma,Maíz grano,"1,250.00",1862.50
2019,7075,Chiapas,Las Rosas,Frijol,515.66,232.05
2019,7075,Chiapas,Las Rosas,Maíz grano,"3,173.28",4093.53
2019,7076,Chiapas,Sabanilla,Frijol,"1,730.00",674.70
2019,7076,Chiapas,Sabanilla,Maíz grano,"3,368.00",3974.24
2019,7077,Chiapas,Salto de Agua,Frijol,"1,020.00",377.40
2019,7077,Chiapas,Salto de Agua,Maíz grano,"15,102.00",18273.42
2019,7078,Chiapas,San Cristóbal de Las Casas,Frijol,577.42,225.19
2019,7078,Chiapas,San Cristóbal de Las Casas,Maíz grano,"4,211.55",5053.86
2019,7079,Chiapas,San Fernando,Maíz grano,"3,133.15",7582.22
2019,7080,Chiapas,Siltepec,Frijol,"1,240.00",753.00
2019,7080,Chiapas,Siltepec,Maíz grano,"2,636.00",3848.56
2019,7081,Chiapas,Simojovel,Frijol,"3,540.00",2265.60
2019,7081,Chiapas,Simojovel,Maíz grano,"7,520.00",10377.60
2019,7082,Chiapas,Sitalá,Frijol,361,122.74
2019,7082,Chiapas,Sitalá,Maíz grano,"1,380.00",1656.00
2019,7083,Chiapas,Socoltenango,Frijol,713.5,492.32
2019,7083,Chiapas,Socoltenango,Maíz grano,"4,335.00",7672.95
2019,7084,Chiapas,Solosuchiapa,Frijol,179,93.08
2019,7084,Chiapas,Solosuchiapa,Maíz grano,507,603.33
2019,7085,Chiapas,Soyaló,Maíz grano,"2,353.88",4872.53
2019,7086,Chiapas,Suchiapa,Maíz grano,"4,930.14",13607.19
2019,7087,Chiapas,Suchiate,Maíz grano,421.5,1074.83
2019,7088,Chiapas,Sunuapa,Frijol,19.5,9.75
2019,7088,Chiapas,Sunuapa,Maíz grano,241,315.71
2019,7089,Chiapas,Tapachula,Maíz grano,"2,355.00",5604.90
2019,7090,Chiapas,Tapalapa,Frijol,51,28.56
2019,7090,Chiapas,Tapalapa,Maíz grano,255,308.55
2019,7091,Chiapas,Tapilula,Frijol,108,52.92
2019,7091,Chiapas,Tapilula,Maíz grano,576,714.24
2019,7092,Chiapas,Tecpatán,Frijol,225.67,94.78
2019,7092,Chiapas,Tecpatán,Maíz grano,"3,024.17",4264.08
2019,7093,Chiapas,Tenejapa,Frijol,102.21,41.91
2019,7093,Chiapas,Tenejapa,Maíz grano,"4,391.75",5270.10
2019,7094,Chiapas,Teopisca,Frijol,258.87,142.38
2019,7094,Chiapas,Teopisca,Maíz grano,"2,455.39",3265.67
2019,7096,Chiapas,Tila,Frijol,"2,330.00",1071.80
2019,7096,Chiapas,Tila,Maíz grano,"8,465.00",10158.00
2019,7097,Chiapas,Tonalá,Maíz grano,"1,182.00",2044.86
2019,7098,Chiapas,Totolapa,Maíz grano,"4,284.24",9853.75
2019,7099,Chiapas,La Trinitaria,Frijol,"2,313.00",1595.97
2019,7099,Chiapas,La Trinitaria,Maíz grano,"7,770.00",13131.30
2019,7100,Chiapas,Tumbalá,Frijol,"1,050.00",441.00
2019,7100,Chiapas,Tumbalá,Maíz grano,"4,562.00",5565.64
2019,7101,Chiapas,Tuxtla Gutiérrez,Maíz grano,"3,132.64",6766.50
2019,7102,Chiapas,Tuxtla Chico,Maíz grano,"2,241.00",5490.45
2019,7103,Chiapas,Tuzantán,Maíz grano,885,1752.30
2019,7104,Chiapas,Tzimol,Frijol,162.6,112.19
2019,7104,Chiapas,Tzimol,Maíz grano,"2,888.00",4851.84
2019,7105,Chiapas,Unión Juárez,Maíz grano,403,826.15
2019,7106,Chiapas,Venustiano Carranza,Frijol,"1,833.33",770.00
2019,7106,Chiapas,Venustiano Carranza,Maíz grano,"15,425.00",43807.00
2019,7107,Chiapas,Villa Corzo,Frijol,"2,491.00",2050.24
2019,7107,Chiapas,Villa Corzo,Maíz grano,"11,950.00",46963.50
2019,7108,Chiapas,Villaflores,Frijol,"1,758.00",953.22
2019,7108,Chiapas,Villaflores,Maíz grano,"22,248.00",78312.96
2019,7109,Chiapas,Yajalón,Frijol,630,239.40
2019,7109,Chiapas,Yajalón,Maíz grano,"2,810.00",3428.20
2019,7110,Chiapas,San Lucas,Maíz grano,"2,466.91",5279.19
2019,7111,Chiapas,Zinacantán,Frijol,120.27,48.11
2019,7111,Chiapas,Zinacantán,Maíz grano,"6,785.48",8142.58
2019,7112,Chiapas,San Juan Cancuc,Frijol,"1,311.25",537.61
2019,7112,Chiapas,San Juan Cancuc,Maíz grano,"3,162.75",3795.30
2019,7113,Chiapas,Aldama,Frijol,60.12,22.85
2019,7113,Chiapas,Aldama,Maíz grano,586.15,697.52
2019,7114,Chiapas,Benemérito de Las Américas,Frijol,"1,080.00",766.80
2019,7114,Chiapas,Benemérito de Las Américas,Maíz grano,"3,910.00",3597.20
2019,7115,Chiapas,Maravilla Tenejapa,Frijol,542.5,444.85
2019,7116,Chiapas,Marqués de Comillas,Frijol,"1,055.00",727.95
2019,7116,Chiapas,Marqués de Comillas,Maíz grano,"4,680.00",5194.80
2019,7117,Chiapas,Montecristo de Guerrero,Frijol,349,293.16
2019,7117,Chiapas,Montecristo de Guerrero,Maíz grano,883,2225.16
2019,7118,Chiapas,San Andrés Duraznal,Frijol,390,269.10
2019,7118,Chiapas,San Andrés Duraznal,Maíz grano,900,1224.00
2019,7119,Chiapas,Santiago El Pinar,Frijol,171.58,68.63
2019,7119,Chiapas,Santiago El Pinar,Maíz grano,491.56,580.04
2019,8001,Chihuahua,Ahumada,Frijol,"1,610.00",2167.00
2019,8001,Chihuahua,Ahumada,Maíz grano,140,126.00
2019,8001,Chihuahua,Ahumada,Trigo grano,"2,960.00",14800.00
2019,8002,Chihuahua,Aldama,Frijol,90,68.00
2019,8002,Chihuahua,Aldama,Trigo grano,282,1483.32
2019,8003,Chihuahua,Allende,Frijol,176,112.40
2019,8003,Chihuahua,Allende,Maíz grano,80,22.40
2019,8004,Chihuahua,Aquiles Serdán,Frijol,7,4.20
2019,8005,Chihuahua,Ascensión,Frijol,860,1598.00
2019,8005,Chihuahua,Ascensión,Trigo grano,"2,621.00",13629.20
2019,8006,Chihuahua,Bachíniva,Frijol,954,804.90
2019,8006,Chihuahua,Bachíniva,Maíz grano,900,900.00
2019,8007,Chihuahua,Balleza,Frijol,95.56,33.45
2019,8007,Chihuahua,Balleza,Maíz grano,"2,074.01",935.62
2019,8008,Chihuahua,Batopilas de Manuel Gómez Morín,Frijol,274,137.00
2019,8008,Chihuahua,Batopilas de Manuel Gómez Morín,Maíz grano,880,616.00
2019,8009,Chihuahua,Bocoyna,Frijol,435.67,174.27
2019,8009,Chihuahua,Bocoyna,Maíz grano,"4,618.67",3233.07
2019,8010,Chihuahua,Buenaventura,Frijol,"1,260.00",2268.00
2019,8010,Chihuahua,Buenaventura,Trigo grano,"2,563.00",12802.40
2019,8012,Chihuahua,Carichí,Frijol,910,409.50
2019,8012,Chihuahua,Carichí,Maíz grano,"2,365.33",1419.00
2019,8013,Chihuahua,Casas Grandes,Frijol,456,351.00
2019,8013,Chihuahua,Casas Grandes,Maíz grano,260,104.00
2019,8013,Chihuahua,Casas Grandes,Trigo grano,88,484.00
2019,8017,Chihuahua,Cuauhtémoc,Frijol,"9,128.00",4780.31
2019,8017,Chihuahua,Cuauhtémoc,Maíz grano,"1,712.00",1712.00
2019,8017,Chihuahua,Cuauhtémoc,Trigo grano,60,225.00
2019,8018,Chihuahua,Cusihuiriachi,Frijol,"4,990.00",2515.00
2019,8018,Chihuahua,Cusihuiriachi,Maíz grano,153.5,276.00
2019,8019,Chihuahua,Chihuahua,Frijol,880,1004.00
2019,8019,Chihuahua,Chihuahua,Maíz grano,100,80.00
2019,8019,Chihuahua,Chihuahua,Trigo grano,101,505.00
2019,8020,Chihuahua,Chínipas,Frijol,190,66.50
2019,8020,Chihuahua,Chínipas,Maíz grano,325,233.78
2019,8022,Chihuahua,Dr. Belisario Domínguez,Frijol,150,90.00
2019,8023,Chihuahua,Galeana,Frijol,320,576.00
2019,8023,Chihuahua,Galeana,Trigo grano,460,2340.00
2019,8024,Chihuahua,Santa Isabel,Frijol,820,533.00
2019,8024,Chihuahua,Santa Isabel,Trigo grano,35,182.00
2019,8025,Chihuahua,Gómez Farías,Frijol,"7,285.00",5187.00
2019,8025,Chihuahua,Gómez Farías,Maíz grano,"2,400.00",2160.00
2019,8026,Chihuahua,Gran Morelos,Frijol,370,185.00
2019,8027,Chihuahua,Guachochi,Frijol,310,139.50
2019,8027,Chihuahua,Guachochi,Maíz grano,"3,100.00",1550.00
2019,8028,Chihuahua,Guadalupe,Trigo grano,366.58,2017.00
2019,8029,Chihuahua,Guadalupe Y Calvo,Frijol,100.15,38.06
2019,8029,Chihuahua,Guadalupe Y Calvo,Maíz grano,"4,349.19",2174.60
2019,8030,Chihuahua,Guazapares,Frijol,195,69.00
2019,8030,Chihuahua,Guazapares,Maíz grano,600,420.00
2019,8031,Chihuahua,Guerrero,Frijol,"7,318.00",4040.60
2019,8031,Chihuahua,Guerrero,Maíz grano,"2,457.00",1474.20
2019,8032,Chihuahua,Hidalgo del Parral,Frijol,55,13.75
2019,8032,Chihuahua,Hidalgo del Parral,Maíz grano,60,15.00
2019,8033,Chihuahua,Huejotitán,Frijol,25,3.25
2019,8033,Chihuahua,Huejotitán,Maíz grano,35,10.50
2019,8034,Chihuahua,Ignacio Zaragoza,Frijol,620,372.00
2019,8034,Chihuahua,Ignacio Zaragoza,Maíz grano,"1,500.00",1050.00
2019,8035,Chihuahua,Janos,Frijol,"1,410.00",1849.00
2019,8035,Chihuahua,Janos,Maíz grano,180,72.00
2019,8035,Chihuahua,Janos,Trigo grano,"1,530.00",7956.00
2019,8037,Chihuahua,Juárez,Trigo grano,512,2816.00
2019,8038,Chihuahua,Julimes,Trigo grano,30,160.00
2019,8040,Chihuahua,Madera,Frijol,660,514.00
2019,8040,Chihuahua,Madera,Maíz grano,"4,500.00",4050.00
2019,8041,Chihuahua,Maguarichi,Frijol,70.93,30.73
2019,8041,Chihuahua,Maguarichi,Maíz grano,318,189.50
2019,8043,Chihuahua,Matachí,Frijol,"1,250.00",660.00
2019,8043,Chihuahua,Matachí,Maíz grano,"1,820.00",910.00
2019,8044,Chihuahua,Matamoros,Frijol,380,105.30
2019,8044,Chihuahua,Matamoros,Maíz grano,207,57.96
2019,8044,Chihuahua,Matamoros,Trigo grano,184,894.24
2019,8046,Chihuahua,Morelos,Frijol,165.64,57.98
2019,8046,Chihuahua,Morelos,Maíz grano,181,126.70
2019,8047,Chihuahua,Moris,Frijol,169.41,59.30
2019,8047,Chihuahua,Moris,Maíz grano,730,547.50
2019,8048,Chihuahua,Namiquipa,Frijol,"26,830.00",26800.70
2019,8048,Chihuahua,Namiquipa,Maíz grano,840,672.00
2019,8049,Chihuahua,Nonoava,Frijol,85,51.00
2019,8050,Chihuahua,Nuevo Casas Grandes,Frijol,125,200.00
